,流水號,授課對象,課號,班次,課程名稱查看課程大綱，請點選課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程
2888,87859,化學所化學組,Chem8002,6,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",25,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人",,,
2889,57260,化學所化學組,Chem8002,7,當代化學研讀,,1,223 D0090,半年,必修,劉如熹,1,"五8,9(請洽系所辦)",25,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人",,,
2890,57260,化學所化生組,Chem8002,7,當代化學研讀,,1,223 D0090,半年,必修,劉如熹,1,"五8,9(請洽系所辦)",25,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：25人",,,
2891,21792,化學所化生組,Chem8002,8,當代化學研讀,,1,223 D0090,半年,必修,羅禮強,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2892,21792,化學所化學組,Chem8002,8,當代化學研讀,,1,223 D0090,半年,必修,羅禮強,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2893,54715,化學所化生組,Chem8002,9,當代化學研讀,,1,223 D0090,半年,必修,張煥宗,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2894,54715,化學所化學組,Chem8002,9,當代化學研讀,,1,223 D0090,半年,必修,張煥宗,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2895,25966,化學所化學組,Chem8002,10,當代化學研讀,,1,223 D0090,半年,必修,陳昭岑,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2896,25966,化學所化生組,Chem8002,10,當代化學研讀,,1,223 D0090,半年,必修,陳昭岑,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2897,76202,化學所化生組,Chem8002,11,當代化學研讀,,1,223 D0090,半年,必修,汪根欉,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2898,76202,化學所化學組,Chem8002,11,當代化學研讀,,1,223 D0090,半年,必修,汪根欉,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2899,24530,化學所化學組,Chem8002,12,當代化學研讀,,1,223 D0090,半年,必修,周必泰,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2900,24530,化學所化生組,Chem8002,12,當代化學研讀,,1,223 D0090,半年,必修,周必泰,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2901,64388,化學所化學組,Chem8002,13,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2902,64388,化學所化生組,Chem8002,13,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2903,30110,化學所化學組,Chem8002,14,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2904,30110,化學所化生組,Chem8002,14,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2905,57977,化學所化學組,Chem8002,15,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2906,57977,化學所化生組,Chem8002,15,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2907,78212,化學所化生組,Chem8002,16,當代化學研讀,,1,223 D0090,半年,必修,楊吉水,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2908,78212,化學所化學組,Chem8002,16,當代化學研讀,,1,223 D0090,半年,必修,楊吉水,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2909,19343,化學所化生組,Chem8002,17,當代化學研讀,,1,223 D0090,半年,必修,陳俊顯,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2910,19343,化學所化學組,Chem8002,17,當代化學研讀,,1,223 D0090,半年,必修,陳俊顯,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2911,15585,化學所化生組,Chem8002,18,當代化學研讀,,1,223 D0090,半年,必修,,,"二A,B(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2912,15585,化學所化學組,Chem8002,18,當代化學研讀,,1,223 D0090,半年,必修,,,"二A,B(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2913,31180,化學所化生組,Chem8002,19,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2914,31180,化學所化學組,Chem8002,19,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2915,19144,化學所化生組,Chem8002,20,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2916,19144,化學所化學組,Chem8002,20,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2917,76050,化學所化生組,Chem8002,21,當代化學研讀,,1,223 D0090,半年,必修,邱靜雯,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2918,76050,化學所化學組,Chem8002,21,當代化學研讀,,1,223 D0090,半年,必修,邱靜雯,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2919,25362,化學所化生組,Chem8002,22,當代化學研讀,,1,223 D0090,半年,必修,戴桓青,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2920,25362,化學所化學組,Chem8002,22,當代化學研讀,,1,223 D0090,半年,必修,戴桓青,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2921,61221,化學所化學組,Chem8002,23,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2922,61221,化學所化生組,Chem8002,23,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2923,62083,化學所化生組,Chem8002,24,當代化學研讀,,1,223 D0090,半年,必修,王宗興,1,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2924,62083,化學所化學組,Chem8002,24,當代化學研讀,,1,223 D0090,半年,必修,王宗興,1,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2925,54491,化學所化學組,Chem8002,25,當代化學研讀,,1,223 D0090,半年,必修,廖尉斯,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2926,54491,化學所化生組,Chem8002,25,當代化學研讀,,1,223 D0090,半年,必修,廖尉斯,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2927,65365,化學所化生組,Chem8002,26,當代化學研讀,,1,223 D0090,半年,必修,陳浩銘,1,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2928,65365,化學所化學組,Chem8002,26,當代化學研讀,,1,223 D0090,半年,必修,陳浩銘,1,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2929,35651,化學所化生組,Chem8002,27,當代化學研讀,,1,223 D0090,半年,必修,江建文,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2930,35651,化學所化學組,Chem8002,27,當代化學研讀,,1,223 D0090,半年,必修,江建文,1,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2931,46332,化學所化生組,Chem8002,28,當代化學研讀,,1,223 D0090,半年,必修,徐丞志,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2932,46332,化學所化學組,Chem8002,28,當代化學研讀,,1,223 D0090,半年,必修,徐丞志,1,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2933,84892,化學所化生組,Chem8002,29,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2934,84892,化學所化學組,Chem8002,29,當代化學研讀,,1,223 D0090,半年,必修,,,"四8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2935,68871,化學所化生組,Chem8002,30,當代化學研讀,,1,223 D0090,半年,必修,,,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2936,68871,化學所化學組,Chem8002,30,當代化學研讀,,1,223 D0090,半年,必修,,,"六3,4(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2937,24633,化學所化學組,Chem8002,31,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2938,24633,化學所化生組,Chem8002,31,當代化學研讀,,1,223 D0090,半年,必修,,,"五8,9(請洽系所辦)",8,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2939,82030,化學所化學組,Chem8054,1,博士班化學教學法與實習二,,1,223 D0330,半年,必修,張煥宗,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2940,82030,化學所化生組,Chem8054,1,博士班化學教學法與實習二,,1,223 D0330,半年,必修,張煥宗,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2941,67732,化學所化生組,Chem8054,2,博士班化學教學法與實習二,,1,223 D0330,半年,必修,林金全,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2942,67732,化學所化學組,Chem8054,2,博士班化學教學法與實習二,,1,223 D0330,半年,必修,林金全,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2943,53323,化學所化生組,Chem8054,3,博士班化學教學法與實習二,,1,223 D0330,半年,選修,陳浩銘,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2944,53323,化學所化學組,Chem8054,3,博士班化學教學法與實習二,,1,223 D0330,半年,必修,陳浩銘,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2945,61821,化學所化生組,Chem8054,4,博士班化學教學法與實習二,,1,223 D0330,半年,必修,陳昭岑,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2946,61821,化學所化學組,Chem8054,4,博士班化學教學法與實習二,,1,223 D0330,半年,必修,陳昭岑,2,,10,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：10人",,,
2947,28179,化學所化學組,Chem8026,,高等分析化學專論二,,3,223 D1140,半年,必修,徐丞志,2,"二2,3,4(請洽系所辦)",30,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：30人","本課程中文授課,使用英文教科書。上課教室：化217教室。",,
2948,48999,化學所化學組,Chem8028,,高等有機化學專論二,,4,223 D1240,半年,選修,梁文傑,2,"一3,4(請洽系所辦) 五3,4(請洽系所辦)",30,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：30人","本課程中文授課,使用英文教科書。上課教室：210教室。",,
2949,81575,化學所化學組,Chem8032,,高等物理化學專論二,,3,223ED1320,半年,必修,陳玉如,2,"一2(請洽系所辦) 三3,4(請洽系所辦)",20,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：20人",本課程以英語授課。上課教室：化121教室。本課程英文化程度說明,,
2950,75700,化學所化學組,Chem8030,,高等無機化學專論二,,3,223 D1420,半年,必修,張慕傑,2,"二6(請洽系所辦) 四3,4(請洽系所辦)",30,"限博士班 且 限本系所學生(含輔系、雙修生),本校修課人數上限：30人","本課程中文授課,使用英文教科書。上課教室：化121。與陳浩銘合授",,
2951,29773,化學所化生組,Chem8036,,高等化學生物學專論二,,3,223ED1620,半年,必修,林俊宏,2,"五2,3,4(請洽系所辦)",30,"限博士班,本校修課人數上限：30人",本課程以英語授課。TIGP-CB組必修課程。上課教室：化121。本課程英文化程度說明,,
2952,77792,化學所化學組,Chem8047,,專題討論(國際學程),,1,223ED9210,半年,必修,陳玉如,3,"三7,8(請洽系所辦)",20,"限博士班,本校修課人數上限：20人",本課程以英語授課。限TIGP生修習(本所生不可選)。時間14:10-16:00。教室：中研院物理所P101會議室。本課程英文化程度說明,,
2953,16174,化學所化學組,Chem8048,,專題研究(國際學程),,1,223ED9220,半年,必修,陳玉如,3,,20,"限博士班,本校修課人數上限：20人",本課程以英語授課。限TIGP生修習(本所生不可選)。本課程英文化程度說明,,
2954,53935,化學所化生組,Chem8049,,專題演講(國際學程),,1,223ED9230,半年,必修,朱忠瀚,2,,10,本校修課人數上限：10人,本課程以英語授課。國際研究生學程CBMB必修課程。本課程英文化程度說明,,
2955,19636,化學所化生組,Chem8050,,實驗室見習(國際學程),,2,223ED9240,半年,必修,朱忠瀚,2,,10,本校修課人數上限：10人,本課程以英語授課。與各教師合開，時間另訂。國際研究生學程CBMB必修課程。本課程英文化程度說明,,
2956,36318,化學所化生組,Chem8052,,書報討論(國際學程),,1,223ED9260,半年,必修,朱忠瀚,3,,10,本校修課人數上限：10人,本課程以英語授課。限國際研究生CBMB學程修習。上課教室：中研院。本課程英文化程度說明,,
2957,51937,化學所化生組,Chem7999,,碩士論文,,0,223 M0010,半年,必修,梁文傑,1,,100,本校修課人數上限：100人,本學期欲畢業之碩士生須修習。與各教授合開。,,
2958,51937,化學所化學組,Chem7999,,碩士論文,,0,223 M0010,半年,必修,梁文傑,1,,100,本校修課人數上限：100人,本學期欲畢業之碩士生須修習。與各教授合開。,,
2959,16541,化學所化學組,Chem7000,1,專題研究,,1,223 M0020,半年,必修,梁文傑,1,,8,"限本系所學生(含輔系、雙修生) 且 限碩士班以上,本校修課人數上限：8人",化學組。限碩士班。,,
2960,60332,化學所化學組,Chem7000,2,專題研究,,1,223 M0020,半年,必修,方俊民,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2961,24548,化學所化學組,Chem7000,3,專題研究,,1,223 M0020,半年,必修,林金全,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2962,40288,化學所化學組,Chem7000,4,專題研究,,1,223 M0020,半年,必修,劉緒宗,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2963,27724,化學所化學組,Chem7000,5,專題研究,,1,223 M0020,半年,必修,陳逸聰,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2964,19275,化學所化學組,Chem7000,6,專題研究,,1,223 M0020,半年,必修,金必耀,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2965,78890,化學所化學組,Chem7000,7,專題研究,,1,223 M0020,半年,必修,劉如熹,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2966,28273,化學所化學組,Chem7000,8,專題研究,,1,223 M0020,半年,必修,羅禮強,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2967,76716,化學所化學組,Chem7000,9,專題研究,,1,223 M0020,半年,必修,張煥宗,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2968,76005,化學所化學組,Chem7000,10,專題研究,,1,223 M0020,半年,必修,陳昭岑,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2969,30782,化學所化學組,Chem7000,11,專題研究,,1,223 M0020,半年,必修,汪根欉,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2970,39109,化學所化學組,Chem7000,12,專題研究,,1,223 M0020,半年,必修,周必泰,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2971,49434,化學所化學組,Chem7000,13,專題研究,,1,223 M0020,半年,必修,邱勝賢,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2972,63667,化學所化學組,Chem7000,14,專題研究,,1,223 M0020,半年,必修,陳振中,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2973,72588,化學所化學組,Chem7000,15,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2974,13648,化學所化學組,Chem7000,16,專題研究,,1,223 M0020,半年,必修,楊吉水,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2975,64463,化學所化學組,Chem7000,17,專題研究,,1,223 M0020,半年,必修,陳俊顯,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2976,53030,化學所化學組,Chem7000,18,專題研究,,1,223 M0020,半年,必修,李弘文,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2977,17234,化學所化學組,Chem7000,19,專題研究,,1,223 M0020,半年,必修,陳平,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2978,76785,化學所化學組,Chem7000,20,專題研究,,1,223 M0020,半年,必修,鄭原忠,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2979,74145,化學所化學組,Chem7000,21,專題研究,,1,223 M0020,半年,必修,邱靜雯,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2980,73765,化學所化學組,Chem7000,22,專題研究,,1,223 M0020,半年,必修,戴桓青,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2981,61351,化學所化學組,Chem7000,23,專題研究,,1,223 M0020,半年,必修,詹益慈,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2982,22362,化學所化學組,Chem7000,24,專題研究,,1,223 M0020,半年,必修,王宗興,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2983,62141,化學所化學組,Chem7000,25,專題研究,,1,223 M0020,半年,必修,廖尉斯,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2984,80632,化學所化學組,Chem7000,26,專題研究,,1,223 M0020,半年,必修,陳浩銘,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2985,24123,化學所化學組,Chem7000,27,專題研究,,1,223 M0020,半年,必修,江建文,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2986,61997,化學所化學組,Chem7000,28,專題研究,,1,223 M0020,半年,必修,徐丞志,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2987,42884,化學所化學組,Chem7000,29,專題研究,,1,223 M0020,半年,必修,張慕傑,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2988,25467,化學所化學組,Chem7000,30,專題研究,,1,223 M0020,半年,必修,朱忠瀚,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2989,61948,化學所化學組,Chem7000,31,專題研究,,1,223EM0020,半年,必修,柳玗珍,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",本課程以英語授課。化學組。限碩士班。本課程英文化程度說明,,
2990,32288,化學所化學組,Chem7000,41,專題研究,,1,223 M0020,半年,必修,林志民,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2991,57272,化學所化學組,Chem7000,42,專題研究,,1,223 M0020,半年,必修,陳玉如,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2992,26556,化學所化學組,Chem7000,43,專題研究,,1,223 M0020,半年,必修,王朝諺,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2993,80751,化學所化學組,Chem7000,44,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2994,40192,化學所化學組,Chem7000,45,專題研究,,1,223 M0020,半年,必修,林俊宏,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2995,50109,化學所化學組,Chem7000,46,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學組。限碩士班。,,
2996,95064,化學所化生組,Chem7000,47,專題研究,,1,223 M0020,半年,必修,牟中原,2,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2997,95083,化學所化學組,Chem7000,49,專題研究,,1,223 M0020,半年,必修,張哲政,2,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",,,
2998,35135,化學所化生組,Chem7000,51,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
2999,41500,化學所化生組,Chem7000,52,專題研究,,1,223 M0020,半年,必修,方俊民,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3000,41749,化學所化生組,Chem7000,53,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3001,76840,化學所化生組,Chem7000,54,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3002,29018,化學所化生組,Chem7000,55,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3003,68728,化學所化生組,Chem7000,56,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3004,62773,化學所化生組,Chem7000,57,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3005,33824,化學所化生組,Chem7000,58,專題研究,,1,223 M0020,半年,必修,羅禮強,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3006,13542,化學所化生組,Chem7000,59,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3007,89487,化學所化生組,Chem7000,60,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3008,63057,化學所化生組,Chem7000,61,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3009,54739,化學所化生組,Chem7000,62,專題研究,,1,223 M0020,半年,必修,周必泰,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3010,54947,化學所化生組,Chem7000,63,專題研究,,1,223 M0020,半年,必修,邱勝賢,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3011,60118,化學所化生組,Chem7000,64,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3012,83593,化學所化生組,Chem7000,65,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3013,41978,化學所化生組,Chem7000,66,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3014,11061,化學所化生組,Chem7000,67,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3015,13552,化學所化生組,Chem7000,68,專題研究,,1,223 M0020,半年,必修,李弘文,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3016,73516,化學所化生組,Chem7000,69,專題研究,,1,223 M0020,半年,必修,陳平,1,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
3017,67804,化學所化生組,Chem7000,70,專題研究,,1,223 M0020,半年,必修,,,,8,"限碩士班以上 且 限本系所學生(含輔系、雙修生),本校修課人數上限：8人",化學生物學組。限碩士班。,,
